Titre,Année,Durée,Score
1. Les évadés,1994,2h 22m,"9,3"
2. Le Parrain,1972,2h 55m,"9,2"
3. The Dark Knight : Le Chevalier noir,2008,2h 32m,"9,0"
"4. Le Parrain, 2ᵉ partie",1974,3h 22m,"9,0"
5. 12 Hommes en colère,1957,1h 36m,"9,0"
6. La liste de Schindler,1993,3h 15m,"9,0"
7. Le Seigneur des anneaux : Le Retour du roi,2003,3h 21m,"9,0"
8. Pulp Fiction,1994,2h 34m,"8,9"
9. Le Seigneur des anneaux : La Communauté de l'anneau,2001,2h 58m,"8,9"
"10. Le bon, la brute et le truand",1966,2h 41m,"8,8"
11. Dune: Deuxième partie,2024,2h 46m,"8,9"
12. Forrest Gump,1994,2h 22m,"8,8"
13. Le Seigneur des anneaux : Les Deux Tours,2002,2h 59m,"8,8"
14. Fight Club,1999,2h 19m,"8,8"
15. Inception,2010,2h 28m,"8,8"
16. L'Empire contre-attaque,1980,2h 4m,"8,7"
17. Matrix,1999,2h 16m,"8,7"
18. Les affranchis,1990,2h 25m,"8,7"
19. Vol au-dessus d'un nid de coucou,1975,2h 13m,"8,7"
20. Seven,1995,2h 7m,"8,6"
21. La vie est belle,1946,2h 10m,"8,6"
22. Interstellar,2014,2h 49m,"8,7"
23. Les 7 Samouraïs,1954,3h 27m,"8,6"
24. Le Silence des agneaux,1991,1h 58m,"8,6"
25. Il faut sauver le soldat Ryan,1998,2h 49m,"8,6"
26. La cité de Dieu,2002,2h 10m,"8,6"
27. La vie est belle,1997,1h 56m,"8,6"
28. La ligne verte,1999,3h 9m,"8,6"
29. Terminator 2 : Le jugement dernier,1991,2h 17m,"8,6"
30. Star Wars: Épisode IV - Un nouvel espoir,1977,2h 1m,"8,6"
31. Retour vers le futur,1985,1h 56m,"8,5"
32. Le voyage de Chihiro,2001,2h 5m,"8,6"
33. Le pianiste,2002,2h 30m,"8,5"
34. Spider-Man: Across the Spider-Verse,2023,2h 20m,"8,6"
35. Parasite,2019,2h 12m,"8,5"
36. Psychose,1960,1h 49m,"8,5"
37. Gladiator,2000,2h 35m,"8,5"
38. Le Roi Lion,1994,1h 28m,"8,5"
39. Léon,1994,1h 50m,"8,5"
40. Les infiltrés,2006,2h 31m,"8,5"
41. American History X,1998,1h 59m,"8,5"
42. Whiplash,2014,1h 46m,"8,5"
43. Le Prestige,2006,2h 10m,"8,5"
44. Le tombeau des lucioles,1988,1h 29m,"8,5"
45. Harakiri,1962,2h 13m,"8,6"
46. Usual Suspects,1995,1h 46m,"8,5"
47. Casablanca,1942,1h 42m,"8,5"
48. Intouchables,2011,1h 52m,"8,5"
49. Cinéma Paradiso,1988,2h 54m,"8,5"
50. Les temps modernes,1936,1h 27m,"8,5"
51. Fenêtre sur cour,1954,1h 52m,"8,5"
52. Il était une fois dans l'Ouest,1968,2h 46m,"8,5"
53. Alien - Le 8ème passager,1979,1h 57m,"8,5"
54. 12th Fail,2023,2h 27m,"9,1"
55. Les lumières de la ville,1931,1h 27m,"8,5"
56. Apocalypse Now,1979,2h 27m,"8,4"
57. Django Unchained,2012,2h 45m,"8,5"
58. Memento,2000,1h 53m,"8,4"
59. WALL·E,2008,1h 38m,"8,4"
60. Les Aventuriers de l'arche perdue,1981,1h 55m,"8,4"
61. La vie des autres,2006,2h 17m,"8,4"
62. Boulevard du Crépuscule,1950,1h 50m,"8,4"
63. Les sentiers de la gloire,1957,1h 28m,"8,4"
64. Avengers: Infinity War,2018,2h 29m,"8,4"
65. Spider-Man: New Generation,2018,1h 57m,"8,4"
66. Shining,1980,2h 26m,"8,4"
67. Témoin à charge,1957,1h 56m,"8,4"
68. Le dictateur,1940,2h 5m,"8,4"
69. Aliens : Le Retour,1986,2h 17m,"8,4"
70. Inglourious Basterds,2009,2h 33m,"8,4"
71. The Dark Knight Rises,2012,2h 44m,"8,4"
72. Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,1964,1h 35m,"8,4"
73. American Beauty,1999,2h 2m,"8,3"
74. Old Boy,2003,2h,"8,3"
75. Coco,2017,1h 45m,"8,4"
76. Amadeus,1984,2h 40m,"8,4"
77. Toy Story,1995,1h 21m,"8,3"
78. Le Bateau,1981,2h 29m,"8,4"
79. Braveheart,1995,2h 58m,"8,3"
80. Avengers: Endgame,2019,3h 1m,"8,4"
81. Joker,2019,2h 2m,"8,4"
82. Princesse Mononoké,1997,2h 14m,"8,3"
83. Will Hunting,1997,2h 6m,"8,3"
84. Your Name.,2016,1h 46m,"8,4"
85. Il était une fois en Amérique,1984,3h 49m,"8,3"
86. Oppenheimer,2023,3h,"8,4"
87. Entre le ciel et l'enfer,1963,2h 23m,"8,4"
88. 3 Idiots,2009,2h 50m,"8,4"
89. Chantons sous la pluie,1952,1h 43m,"8,3"
90. Capharnaüm,2018,2h 6m,"8,4"
91. Requiem for a Dream,2000,1h 42m,"8,3"
92. Requiem pour un massacre - Va et regarde,1985,2h 22m,"8,4"
93. Toy Story 3,2010,1h 43m,"8,3"
94. Le Retour du Jedi,1983,2h 11m,"8,3"
95. Eternal Sunshine of the Spotless Mind,2004,1h 48m,"8,3"
96. La chasse,2012,1h 55m,"8,3"
97. 2001 : L'Odyssée de l'espace,1968,2h 29m,"8,3"
98. Reservoir Dogs,1992,1h 39m,"8,3"
99. Vivre,1952,2h 23m,"8,3"
100. Lawrence d'Arabie,1962,3h 38m,"8,3"
101. La garçonnière,1960,2h 5m,"8,3"
102. La mort aux trousses,1959,2h 16m,"8,3"
103. Citizen Kane,1941,1h 59m,"8,3"
104. M le maudit,1931,1h 58m,"8,3"
105. Sueurs froides,1958,2h 8m,"8,3"
106. Assurance sur la mort,1944,1h 47m,"8,3"
107. Incendies,2010,2h 11m,"8,3"
108. Scarface,1983,2h 50m,"8,3"
109. Le fabuleux destin d'Amélie Poulain,2001,2h 2m,"8,3"
110. Full Metal Jacket,1987,1h 56m,"8,3"
111. Orange mécanique,1971,2h 16m,"8,3"
112. Heat,1995,2h 50m,"8,3"
113. Là-haut,2009,1h 36m,"8,3"
114. Du silence et des ombres...,1962,2h 9m,"8,3"
115. L'Arnaque,1973,2h 9m,"8,3"
116. Une séparation,2011,2h 3m,"8,3"
117. Indiana Jones et la dernière croisade,1989,2h 7m,"8,2"
118. Piège de cristal,1988,2h 12m,"8,2"
119. Metropolis,1927,2h 33m,"8,3"
120. Taare Zameen Par,2007,2h 42m,"8,3"
121. Hamilton,2020,2h 40m,"8,3"
122. Snatch - Tu braques ou tu raques,2000,1h 44m,"8,2"
123. L.A. Confidential,1997,2h 18m,"8,2"
124. Le Voleur de bicyclette,1948,1h 29m,"8,3"
125. 1917,2019,1h 59m,"8,2"
126. Taxi Driver,1976,1h 54m,"8,2"
127. La chute,2004,2h 36m,"8,2"
128. Dangal,2016,2h 41m,"8,3"
129. ...et pour quelques dollars de plus,1965,2h 12m,"8,2"
130. Batman Begins,2005,2h 20m,"8,2"
131. Le loup de Wall Street,2013,3h,"8,2"
132. Certains l'aiment chaud,1959,2h 1m,"8,2"
133. Le Kid,1921,1h 8m,"8,2"
134. Green Book: Sur les routes du sud,2018,2h 10m,"8,2"
135. The Father,2020,1h 37m,"8,2"
136. Top Gun: Maverick,2022,2h 10m,"8,2"
137. Jugement à Nuremberg,1961,2h 59m,"8,3"
138. Ève...,1950,2h 18m,"8,2"
139. The Truman Show,1998,1h 43m,"8,2"
140. There Will Be Blood,2007,2h 38m,"8,2"
141. Shutter Island,2010,2h 18m,"8,2"
142. Casino,1995,2h 58m,"8,2"
143. Ran,1985,2h 40m,"8,2"
144. Jurassic Park,1993,2h 7m,"8,2"
145. Sixième sens,1999,1h 47m,"8,2"
146. Le labyrinthe de Pan,2006,1h 58m,"8,2"
147. Impitoyable,1992,2h 10m,"8,2"
148. Un homme d'exception,2001,2h 15m,"8,2"
149. No Country for Old Men,2007,2h 2m,"8,2"
150. The Thing,1982,1h 49m,"8,2"
151. Le Trésor de la Sierra Madre,1948,2h 6m,"8,2"
152. Kill Bill: Volume I,2003,1h 51m,"8,2"
153. Le garde du corps,1961,1h 50m,"8,2"
154. Monty Python : Sacré Graal !,1975,1h 31m,"8,2"
155. La Grande Évasion,1963,2h 52m,"8,2"
156. Le Monde de Nemo,2003,1h 40m,"8,2"
157. Rashomon,1950,1h 28m,"8,2"
158. Le château ambulant,2004,1h 59m,"8,2"
159. Prisoners,2013,2h 33m,"8,1"
160. Elephant Man,1980,2h 4m,"8,2"
161. Chinatown,1974,2h 10m,"8,1"
162. Le crime était presque parfait,1954,1h 45m,"8,2"
163. Autant en emporte le vent,1939,3h 58m,"8,2"
164. V pour vendetta,2005,2h 12m,"8,2"
"165. Arnaques, crimes et botanique",1998,1h 47m,"8,1"
166. Dans ses yeux,2009,2h 9m,"8,2"
167. Raging Bull,1980,2h 9m,"8,1"
168. Vice-versa,2015,1h 35m,"8,1"
169. 3 Billboards: Les panneaux de la vengeance,2017,1h 55m,"8,1"
170. Trainspotting,1996,1h 33m,"8,1"
171. Le pont de la rivière Kwaï,1957,2h 41m,"8,1"
172. Spider-Man: No Way Home,2021,2h 28m,"8,2"
173. Fargo,1996,1h 38m,"8,1"
174. La légende de Klaus,2019,1h 36m,"8,2"
175. Warrior,2011,2h 20m,"8,1"
176. Arrête-moi si tu peux,2002,2h 21m,"8,1"
177. Godzilla Minus One,2023,2h 4m,"8,3"
178. Gran Torino,2008,1h 56m,"8,1"
179. Mon voisin Totoro,1988,1h 26m,"8,1"
180. Million Dollar Baby,2004,2h 12m,"8,1"
181. Harry Potter et les Reliques de la Mort : partie 2,2011,2h 10m,"8,1"
182. Les enfants du ciel,1997,1h 29m,"8,2"
183. 12 Years a Slave,2013,2h 14m,"8,1"
184. Blade Runner,1982,1h 57m,"8,1"
185. Before Sunrise,1995,1h 41m,"8,1"
186. The Grand Budapest hotel,2014,1h 39m,"8,1"
187. Ben-Hur,1959,3h 32m,"8,1"
188. Barry Lyndon,1975,3h 5m,"8,1"
189. Gone Girl,2014,2h 29m,"8,1"
190. La ruée vers l'or,1925,1h 35m,"8,1"
191. Tu ne tueras point,2016,2h 19m,"8,1"
192. Au nom du père,1993,2h 13m,"8,1"
193. Memories of Murder,2003,2h 11m,"8,1"
194. Le Cercle des poètes disparus,1989,2h 8m,"8,1"
195. Sur les quais...,1954,1h 48m,"8,1"
196. Le mécano de la Générale,1926,1h 18m,"8,1"
197. Voyage au bout de l'enfer,1978,3h 3m,"8,1"
198. Les Nouveaux Sauvages,2014,2h 2m,"8,1"
199. Mad Max: Fury Road,2015,2h,"8,1"
200. Sherlock Junior,1924,45m,"8,2"
201. Monstres & Cie,2001,1h 32m,"8,1"
202. Le troisième homme,1949,1h 44m,"8,1"
203. Les fraises sauvages,1957,1h 31m,"8,1"
204. Le salaire de la peur,1953,2h 36m,"8,2"
205. Les Dents de la mer,1975,2h 4m,"8,1"
206. Dragons,2010,1h 38m,"8,1"
207. Mary et Max.,2009,1h 32m,"8,1"
208. Mr. Smith au sénat,1939,2h 9m,"8,1"
209. Le Mans '66,2019,2h 32m,"8,1"
210. Ratatouille,2007,1h 51m,"8,1"
211. Pauvres créatures,2023,2h 21m,"8,1"
212. Le septième sceau,1957,1h 36m,"8,1"
213. Voyage à Tokyo,1953,2h 16m,"8,1"
214. Room,2015,1h 58m,"8,1"
215. The Big Lebowski,1998,1h 57m,"8,1"
216. Rocky,1976,2h,"8,1"
217. Logan,2017,2h 17m,"8,1"
218. Spotlight,2015,2h 9m,"8,1"
219. Hôtel Rwanda,2004,2h 1m,"8,1"
220. Platoon,1986,2h,"8,1"
221. Terminator,1984,1h 47m,"8,1"
222. La passion de Jeanne d'Arc,1928,1h 50m,"8,1"
223. Before Sunset,2004,1h 20m,"8,1"
224. Les Plus Belles Années de notre vie,1946,2h 50m,"8,1"
225. La haine,1995,1h 38m,"8,1"
226. Jai Bhim,2021,2h 44m,"8,7"
227. L'exorciste,1973,2h 2m,"8,1"
228. Rush,2013,2h 3m,"8,1"
229. Pirates des Caraïbes : La malédiction du Black Pearl,2003,2h 23m,"8,1"
230. Network - Main basse sur la TV,1976,2h 1m,"8,1"
231. Stand by Me : Compte sur moi,1986,1h 29m,"8,1"
232. Le Magicien d'Oz,1939,1h 42m,"8,1"
233. Les Indestructibles,2004,1h 55m,"8,0"
234. Hatchi,2009,1h 33m,"8,1"
235. Into the Wild,2007,2h 28m,"8,1"
236. Mon père et mon fils,2005,1h 52m,"8,2"
237. Mademoiselle,2016,2h 25m,"8,1"
238. Jeu dangereux,1942,1h 39m,"8,1"
239. La mélodie du bonheur,1965,2h 52m,"8,1"
240. Les raisins de la colère,1940,2h 9m,"8,1"
241. La bataille d'Alger,1966,2h 1m,"8,1"
242. Un jour sans fin,1993,1h 41m,"8,0"
243. Amours chiennes,2000,2h 34m,"8,1"
244. Rebecca,1940,2h 10m,"8,1"
245. Luke la main froide,1967,2h 7m,"8,1"
246. Le géant de fer,1999,1h 26m,"8,1"
247. La couleur des sentiments,2011,2h 26m,"8,1"
248. New York - Miami,1934,1h 45m,"8,1"
249. Danse avec les loups,1990,3h 1m,"8,0"
250. Les Quatre Cents Coups,1959,1h 39m,"8,1"
